Feature,Importance,Importance_Pct
Ship_Mode_Code,0.9445594213632871,94.46
Distance_Miles,0.007745493127254089,0.77
Order_Month,0.006902700278119933,0.69
State_Lat,0.006846974058442334,0.68
Gross Profit,0.005890600114192655,0.59
Order_DayOfWeek,0.0057473574680229084,0.57
Cost,0.005042395919160368,0.5
State_Lon,0.004959030181104273,0.5
Sales,0.0034278893556020356,0.34
Profit_Per_Unit,0.0017171477311724555,0.17
Units,0.001677007348148528,0.17
Revenue_Per_Unit,0.0014444691852229731,0.14
Order_Quarter,0.001291322418021866,0.13
Profit_Margin,0.0010547852005280455,0.11
Region_Code,0.0007161861514960651,0.07
Factory_Lat,0.0003879982759169286,0.04
Factory_Code,0.00022602213579456546,0.02
Factory_Lon,0.00021675438406873856,0.02
Division_Code,0.00014644530444431368,0.01
